ProductID,StoreID,StockLevels,SupplierLeadTime,StockoutFrequency,ReorderPoint,WarehouseCapacity,OrderFulfillmentTime
1000,16,700,10,14,132,1052,6
1000,60,82,11,1,127,1262,9
1000,55,145,25,14,192,1457,12
1001,24,151,17,6,19,2944,3
1001,5,714,12,2,21,3739,7
1001,53,11,25,9,193,3988,11
1003,22,960,3,6,185,4383,13
1005,19,111,14,13,25,1373,3
1006,28,569,10,4,141,4949,13
1007,38,462,9,19,193,2429,8
1008,68,271,11,6,173,1854,4
1008,21,87,25,5,196,4019,8
1008,2,410,3,13,88,4350,2
1008,27,301,10,19,92,1737,10
1008,41,611,10,0,190,3714,4
1009,61,167,4,6,114,4808,5
1009,8,732,8,13,179,4095,14
1009,93,152,20,8,189,3030,4
1010,97,317,4,18,156,1338,2
1013,37,964,10,11,90,2564,6
1013,47,620,11,10,136,4761,14
1014,88,947,17,5,63,4537,1
1014,91,462,28,18,195,2813,1
1017,9,253,1,19,59,3209,2
1017,77,482,25,16,152,4961,7
1019,69,789,6,1,105,2024,1
1019,79,38,7,16,172,4313,12
1020,33,217,1,19,32,1005,11
1020,88,127,11,0,154,3355,1
1021,1,50,23,3,117,4664,5
1021,8,82,10,5,154,1158,5
1023,33,66,12,10,151,1463,5
1024,69,441,28,10,11,1831,6
1027,28,204,7,7,128,3063,5
1028,50,484,23,3,183,4075,4
1030,75,446,8,9,65,1898,9
1030,67,725,8,7,126,2617,8
1032,58,846,5,19,170,2392,6
1033,22,797,4,18,73,1154,2
1034,56,870,22,15,98,2922,12
1035,14,131,24,6,113,3486,12
1035,29,531,24,14,53,2817,14
1035,43,934,5,5,102,1586,7
1035,63,738,2,5,188,2572,10
1040,76,639,20,14,192,3264,11
1041,93,570,21,16,73,2095,1
1042,94,538,5,2,25,3756,2
1043,73,515,28,18,154,4972,9
1045,2,302,26,3,97,3240,8
1049,42,669,27,11,82,2264,10
1049,8,383,26,13,149,1051,5
1049,78,643,16,3,141,2109,4
1051,66,515,20,9,143,4655,7
1052,16,61,1,6,136,1826,7
1053,7,146,20,9,122,3060,7
1053,45,247,22,0,155,1473,13
1055,1,621,3,18,39,4875,3
1055,78,499,26,1,104,2992,3
1056,31,949,13,4,198,2465,13
1056,36,942,14,19,39,3020,14
1056,20,559,22,16,144,4953,5
1057,35,694,25,8,193,4430,5
1059,3,614,14,6,14,2652,11
1059,16,908,12,5,124,4919,3
1060,43,639,16,0,76,1130,1
1062,20,536,1,12,160,3468,13
1062,3,369,23,9,135,1410,3
1063,62,843,12,15,75,3447,5
1063,54,844,17,2,175,2329,4
1067,63,709,17,18,15,4602,7
1067,67,454,26,1,87,1929,12
1072,65,896,23,2,166,3169,4
1073,48,663,4,9,176,4572,10
1073,67,941,5,11,80,3029,12
1075,65,127,25,7,75,4003,3
1075,55,432,20,15,84,4866,14
1076,53,171,6,13,18,4894,12
1076,71,563,22,12,125,1128,12
1076,46,660,25,8,22,3929,11
1076,73,781,23,17,47,2590,13
1077,42,408,6,15,23,4068,13
1078,85,279,3,2,106,3633,6
1078,55,213,24,3,177,4481,13
1080,34,507,10,2,146,1045,6
1080,47,273,21,3,76,2844,3
1081,62,548,12,4,125,4198,7
1082,45,121,3,5,128,1022,9
1082,87,705,27,9,198,3038,14
1083,10,726,8,0,162,1168,9
1084,62,551,1,16,127,1620,3
1084,55,544,28,5,46,3130,8
1085,54,886,22,19,145,3891,7
1086,38,843,23,8,97,4646,12
1087,21,649,12,9,58,4649,11
1087,34,371,19,17,92,1763,9
1087,79,937,4,7,191,3698,4
1089,47,235,6,12,71,3628,4
1089,95,44,16,4,72,1545,2
1090,36,676,24,2,122,1970,2
1090,1,934,24,12,60,2271,12
1090,4,766,20,16,115,3480,12
1090,51,424,10,2,121,1240,12
1090,79,370,9,2,36,3848,11
1091,9,211,17,16,94,3682,13
1092,39,67,28,5,56,4945,13
1092,18,823,29,17,39,4140,6
1092,33,928,8,19,162,2757,3
1095,59,627,24,19,24,1486,1
1095,90,842,10,11,198,4562,1
1096,98,722,3,16,192,2122,2
1096,33,725,12,17,116,2157,12
1096,62,744,7,6,19,2985,2
1096,13,660,8,18,44,3584,12
