ProductID,Date,StoreID,SalesQuantity,Price,Promotions,SeasonalityFactors,DemandTrend,CustomerSegments,StoreLocation,ManagerID
1000,2024-06-20,88,261,74.59,Yes,Holiday,Decreasing,Premium,Maharashtra,AW01
1000,2024-04-16,57,206,76.15,No,Weekday,Decreasing,Premium,Rajasthan,AW10
1000,2024-09-04,22,245,60.79,No,Holiday,Decreasing,Premium,Rajasthan,AW10
1001,2024-12-10,78,479,79.38,Yes,Holiday,Stable,Premium,Telangana,AW02
1001,2024-08-09,96,216,86.01,Yes,Holiday,Stable,Regular,Delhi,AW03
1001,2024-02-21,80,8,40.09,Yes,Weekday,Decreasing,Budget,Madhya Pradesh,AW11
1003,2024-03-27,40,400,64.57,Yes,Holiday,Decreasing,Regular,Delhi,AW03
1005,2024-05-25,97,245,97.76,Yes,Festival,Stable,Premium,Punjab,AW09
1006,2024-02-06,83,137,91.08,Yes,Festival,Stable,Premium,Haryana,AW04
1007,2024-03-27,86,459,19.66,Yes,Festival,Increasing,Regular,Haryana,AW04
1008,2024-06-29,89,108,25.93,Yes,Festival,Decreasing,Budget,Telangana,AW02
1008,2024-10-15,17,296,64.28,Yes,Weekday,Increasing,Budget,Haryana,AW04
1008,2024-07-19,87,300,26.55,Yes,Weekday,Decreasing,Regular,Punjab,AW09
1008,2024-07-25,62,490,22.86,No,Holiday,Decreasing,Budget,Karnataka,AW07
1008,2024-01-21,6,326,8.03,Yes,Festival,Stable,Regular,Uttar Pradesh,AW13
1009,2024-05-11,61,186,7.27,No,Holiday,Decreasing,Regular,Uttar Pradesh,AW13
1009,2024-12-27,39,51,99.64,Yes,Holiday,Increasing,Premium,Uttar Pradesh,AW13
1009,2024-07-28,86,15,41.91,No,Weekday,Increasing,Premium,Assam,AW06
1010,2024-07-13,59,78,76.46,No,Holiday,Decreasing,Regular,Gujarat,AW05
1013,2024-02-15,86,210,13.95,No,Festival,Decreasing,Premium,Tamil Nadu,AW12
1013,2024-03-21,96,463,91.34,Yes,Festival,Stable,Premium,Karnataka,AW07
1014,2024-09-25,97,140,85.6,No,Holiday,Increasing,Regular,Tamil Nadu,AW12
1014,2024-12-23,65,482,61.1,No,Festival,Stable,Regular,West Bengal,AW08
1017,2024-07-14,45,20,43.75,No,Holiday,Decreasing,Budget,Maharashtra,AW01
1017,2024-05-19,31,228,11.45,No,Festival,Decreasing,Budget,Gujarat,AW05
1019,2024-05-10,45,294,22.82,Yes,Weekday,Increasing,Budget,Telangana,AW02
1019,2024-08-23,51,274,8.87,No,Holiday,Decreasing,Premium,Uttar Pradesh,AW13
1020,2024-08-16,63,134,80.49,No,Festival,Stable,Premium,Maharashtra,AW01
1020,2024-02-21,23,195,55.18,No,Weekday,Stable,Premium,Rajasthan,AW10
1021,2024-06-05,43,17,82.87,No,Festival,Decreasing,Premium,Delhi,AW03
1021,2024-07-30,57,365,74.41,No,Weekday,Stable,Regular,Assam,AW06
1023,2024-03-09,8,89,60.95,Yes,Festival,Increasing,Budget,Haryana,AW04
1024,2024-06-07,31,430,42.44,Yes,Festival,Stable,Regular,Maharashtra,AW01
1027,2024-04-18,28,226,75.71,Yes,Holiday,Stable,Budget,Gujarat,AW05
1028,2024-08-21,51,203,74.26,Yes,Holiday,Decreasing,Premium,Madhya Pradesh,AW11
1030,2024-09-27,44,257,28.91,No,Holiday,Increasing,Regular,Gujarat,AW05
1030,2024-05-21,42,416,46.13,No,Holiday,Increasing,Regular,Madhya Pradesh,AW11
1032,2024-01-19,8,215,16.74,Yes,Holiday,Decreasing,Premium,Gujarat,AW05
1033,2024-06-25,45,296,29.45,No,Weekday,Decreasing,Regular,Rajasthan,AW10
1034,2024-10-17,29,322,96,No,Holiday,Decreasing,Regular,Telangana,AW02
1035,2024-04-14,25,105,40.47,Yes,Holiday,Stable,Budget,Maharashtra,AW01
1035,2024-03-17,94,301,88.29,Yes,Festival,Decreasing,Budget,Telangana,AW02
1035,2024-11-10,60,346,44.25,Yes,Holiday,Stable,Budget,Maharashtra,AW01
1035,2024-08-13,43,143,76.66,Yes,Weekday,Stable,Regular,Karnataka,AW07
1040,2024-02-16,52,163,26.04,No,Festival,Decreasing,Premium,Haryana,AW04
1041,2024-04-14,38,80,91.56,No,Holiday,Stable,Premium,Haryana,AW04
1042,2024-08-01,32,240,64.28,Yes,Festival,Stable,Regular,Telangana,AW02
1043,2024-11-21,61,432,46.64,No,Holiday,Stable,Budget,Telangana,AW02
1045,2024-06-05,5,320,44.14,No,Weekday,Increasing,Premium,Tamil Nadu,AW12
1049,2024-09-13,85,481,24.67,No,Holiday,Decreasing,Premium,Gujarat,AW05
1049,2024-03-30,96,428,29.04,Yes,Festival,Decreasing,Premium,Telangana,AW02
1049,2024-10-30,74,171,55.08,Yes,Weekday,Stable,Premium,Punjab,AW09
1051,2024-10-27,26,158,86.76,No,Holiday,Increasing,Budget,Punjab,AW09
1052,2024-05-03,73,111,37,No,Festival,Stable,Regular,Maharashtra,AW01
1053,2024-05-31,58,301,62.35,Yes,Weekday,Increasing,Budget,Uttar Pradesh,AW13
1053,2024-02-08,75,145,75.37,Yes,Holiday,Increasing,Regular,Punjab,AW09
1055,2024-08-19,96,290,84.25,Yes,Holiday,Stable,Premium,Telangana,AW02
1055,2024-11-20,63,300,97.29,Yes,Holiday,Stable,Regular,Maharashtra,AW01
1056,2024-12-16,80,242,11.13,No,Festival,Stable,Regular,Haryana,AW04
1056,2024-02-10,60,15,51.13,Yes,Holiday,Stable,Budget,Telangana,AW02
1056,2024-06-03,12,313,44.87,Yes,Holiday,Decreasing,Regular,West Bengal,AW08
1057,2024-05-06,80,455,79.47,No,Holiday,Decreasing,Budget,Punjab,AW09
1059,2024-12-18,45,177,36.6,No,Festival,Increasing,Premium,Haryana,AW04
1059,2024-11-28,40,451,46.07,No,Festival,Decreasing,Premium,Telangana,AW02
1060,2024-05-31,68,381,90.9,Yes,Holiday,Increasing,Regular,Telangana,AW02
1062,2024-11-25,96,345,19.91,Yes,Festival,Increasing,Regular,Punjab,AW09
1062,2024-03-10,7,165,65.47,No,Weekday,Stable,Premium,West Bengal,AW08
1063,2024-08-20,4,450,11.31,No,Festival,Increasing,Budget,Delhi,AW03
1063,2024-06-15,49,411,38.39,Yes,Weekday,Stable,Regular,Tamil Nadu,AW12
1067,2024-08-12,32,296,79.48,Yes,Festival,Decreasing,Regular,Assam,AW06
1067,2024-11-14,19,335,39.26,No,Weekday,Decreasing,Budget,Assam,AW06
1072,2024-03-12,10,298,20.08,Yes,Weekday,Decreasing,Premium,Punjab,AW09
1073,2024-06-05,83,21,33.14,No,Holiday,Decreasing,Regular,Haryana,AW04
1073,2024-06-23,35,325,32.75,Yes,Holiday,Increasing,Regular,Punjab,AW09
1075,2024-02-01,8,496,60.44,Yes,Holiday,Increasing,Regular,Gujarat,AW05
1075,2024-10-13,36,145,22.26,No,Holiday,Stable,Budget,Rajasthan,AW10
1076,2024-12-07,63,43,17.41,Yes,Holiday,Increasing,Budget,Delhi,AW03
1076,2024-01-27,89,126,85.3,Yes,Festival,Increasing,Regular,Gujarat,AW05
1076,2024-08-18,96,498,8.65,No,Festival,Increasing,Premium,Haryana,AW04
1076,2024-03-07,70,302,74.25,Yes,Weekday,Increasing,Premium,Telangana,AW02
1077,2024-11-15,6,382,96.23,Yes,Festival,Decreasing,Budget,Telangana,AW02
1078,2024-06-25,1,53,95.42,Yes,Festival,Increasing,Regular,Haryana,AW04
1078,2024-11-28,52,137,24.54,Yes,Weekday,Stable,Regular,Tamil Nadu,AW12
1080,2024-08-07,91,123,10.41,No,Festival,Stable,Budget,Haryana,AW04
1080,2024-04-23,44,381,61.62,No,Festival,Stable,Budget,Rajasthan,AW10
1081,2024-04-09,64,307,82.62,No,Holiday,Stable,Budget,Maharashtra,AW01
1082,2024-09-25,2,258,57.75,No,Festival,Stable,Regular,Telangana,AW02
1082,2024-07-31,78,75,40.62,No,Holiday,Increasing,Budget,Tamil Nadu,AW12
1083,2024-04-25,99,138,99.98,Yes,Holiday,Increasing,Regular,West Bengal,AW08
1084,2024-09-08,72,475,24.92,No,Festival,Decreasing,Premium,Telangana,AW02
1084,2024-07-24,84,182,75.94,No,Festival,Stable,Premium,Karnataka,AW07
1085,2024-02-20,7,263,48.02,Yes,Holiday,Decreasing,Regular,Rajasthan,AW10
1086,2024-10-20,9,421,58.66,Yes,Holiday,Stable,Budget,Madhya Pradesh,AW11
1087,2024-07-24,50,360,21,Yes,Festival,Increasing,Regular,Gujarat,AW05
