ProductID,StoreID,Price,CompetitorPrices,Discounts,SalesVolume,CustomerReviews,ReturnRate,StorageCost
1000,13,31.61,56.14,19.68,255,3,13.33,6.72
1000,77,35.51,63.04,16.88,5,3,1.5,8.38
1000,59,6.54,30.61,10.86,184,3,9.44,3.86
1001,19,13.61,15.94,45.28,337,1,15.11,8.8
1001,66,62.68,30.64,33.48,80,3,19.62,9.74
1001,6,44.87,68.31,28.35,452,4,3.05,7.01
1003,6,34.99,88.04,27.67,233,2,3.62,7.76
1005,86,27.91,59.28,5.15,427,2,18.96,6.29
1006,38,57.49,8.87,21.56,326,4,6.01,5.28
1007,19,62.71,75.97,25.07,41,2,15.82,5.65
1008,9,12.02,59.85,41.37,391,3,19.53,3.96
1008,60,63.8,7.16,48.63,40,3,12.26,3.07
1008,5,59.02,94.67,47.4,480,4,0.29,7.59
1008,39,20.23,5.57,6.96,345,3,13.68,4.46
1008,48,39.26,91.32,20.39,274,2,10.96,7.93
1009,28,74.7,7.05,40.96,430,1,10.73,4.34
1009,95,73.32,85.14,4.17,172,2,3.88,4.13
1009,62,47.46,5.97,25.59,233,4,15.9,7.94
1010,76,20.31,82.82,12.55,309,1,17.16,2.84
1013,47,64.62,90.65,39.44,51,4,19.4,8.81
1013,22,88.65,54.55,5.21,376,2,14.8,7.08
1014,74,68.81,35.24,11.05,330,3,13.49,9.7
1014,11,43.99,15.64,44.21,184,4,17.62,5.69
1017,56,46.39,74.51,13.39,355,4,12.19,3.93
1017,92,32.47,99.4,15.18,363,2,12.49,7.3
1019,16,90.91,68.33,37.19,135,1,14.88,7.21
1019,65,20.78,59.2,43.09,15,2,7.2,7.39
1020,49,65.6,44.04,1.02,183,2,4.51,5.03
1020,73,65.77,90.17,10.71,44,4,7.28,6.78
1021,45,70.35,96.04,35.14,209,1,5.13,8.12
1021,38,5.48,11.21,49.21,472,1,14.93,8.56
1023,32,98.37,87.65,6.91,213,3,11.97,5.32
1024,11,32.66,29.86,36.59,224,1,13.84,2.94
1027,68,94.26,29.21,19.33,345,1,16.02,6.6
1028,12,40.25,13.52,10.14,251,1,19.09,7.69
1030,24,47.43,27.33,30.11,201,2,19.6,3.57
1030,28,92.37,47.49,21.28,225,2,10.56,4.43
1032,59,32.07,65.22,25.07,130,3,15.34,6.84
1033,80,68.28,56.26,25.66,92,4,12.85,3.02
1034,30,52.76,84.37,3.77,36,3,14.25,3.66
1035,16,35.31,17.69,25.34,84,3,4.67,9.1
1035,30,47.39,14.75,4.01,359,3,17.83,4.27
1035,91,26.27,56.06,2.34,98,2,6.32,7.59
1035,6,58.19,89.62,18.72,193,2,11.38,2.05
1040,95,43.37,34.56,12.5,83,1,17.6,2.43
1041,19,76.28,38.72,16.43,149,3,14.72,3.26
1042,98,96.4,18.28,8.58,16,3,6.71,1.01
1043,96,29.39,58.88,43.85,251,2,17.93,8.53
1045,63,29.91,95.4,1.69,165,4,4.16,5.46
1049,45,50.62,88.05,15.84,244,2,17.06,7.91
1049,43,63.67,96.3,37.93,22,2,17.41,3.82
1049,31,70.96,90.57,26.63,265,1,0.54,4.98
1051,6,18.36,27.78,15.9,291,1,9.53,2.35
1052,93,14.05,79.26,5.25,325,2,13.59,5.12
1053,85,95.18,16.7,27.42,322,4,14.15,3.2
1053,97,27.77,20.67,31.19,438,1,17.05,5.29
1055,43,23.16,21.6,11.33,16,4,7.05,8.62
1055,72,5.64,29.04,49.37,445,1,18.06,9.65
1056,82,91.18,54.43,45.52,27,4,1.16,6.41
1056,65,63.82,9.35,4.78,98,3,12.26,6.34
1056,45,23.87,36.91,48.94,320,1,12.38,8.04
1057,58,56.06,46.85,5.89,355,1,17.98,7.21
1059,64,22.83,16.55,9.19,222,4,1.79,3.25
1059,4,7.61,37.74,9.37,23,3,8.86,5.54
1060,71,11.08,90.39,7.2,490,2,12.1,2.77
1062,52,55.71,9.49,13.66,168,2,14.39,2.52
1062,4,75.8,58.65,22.42,247,2,3.91,3.92
1063,83,62.45,57.31,30.81,147,1,11.25,7.45
1063,61,65.24,58.93,23.81,361,1,12.58,6.85
1067,33,55.43,87.73,31.62,427,4,7.49,9.62
1067,25,85.84,13.48,43.12,159,4,6.1,8.41
1072,49,85.07,74.04,46.61,449,3,14.29,3.25
1073,5,47.24,84.85,12.53,374,2,9.39,4.06
1073,64,73.29,53.14,11,48,1,10.17,5.45
1075,26,75.67,13.1,35.27,56,3,15.59,9.12
1075,90,96.65,49.84,5.31,141,2,19.66,5.56
1076,16,64.96,22.62,27.45,133,1,11.24,7.53
1076,21,81.95,60.08,2.11,325,4,4.07,9.69
1076,44,60.49,11.15,28.67,442,4,0.35,1.38
1076,91,51.02,29.15,26.47,159,2,6.72,3.43
1077,69,85.91,51.65,33.65,137,2,14.15,6.44
1078,38,38.1,62.69,9.66,287,3,10.26,7.33
1078,38,14.29,37.02,4.91,28,3,10.42,2.68
1080,72,86.89,20.23,16.35,350,3,6.18,1.55
1080,66,50.65,15.18,8.15,97,2,17.85,4.65
1081,22,62,32.27,13.79,83,2,14.26,1.44
1082,38,74.83,17.01,30.49,337,3,6.29,7.84
1082,97,76.05,76.59,22.3,160,1,2.48,3.29
1083,70,11.97,86.19,39.03,76,1,11.53,2.52
1084,94,55.43,26.25,4.6,168,4,11.29,8.38
1084,84,21.99,99.72,30.67,139,3,18.41,5.56
1085,84,90.29,63.59,42,300,1,7.22,4.39
1086,91,30.18,56.55,49.45,210,2,3.32,6.75
1087,6,78.83,50.07,13.52,258,3,0.59,6.83
1087,69,84.97,45.12,37.72,360,2,4.87,6.14
1087,56,43.68,69.37,17.86,404,3,2.78,1.49
1089,15,41.25,90.02,41.48,229,1,17.71,7.09
1089,17,34.37,60.17,23,3,2,2.06,1.98
1090,54,27.35,84.46,16.04,223,3,3.05,9.26
1090,6,46.78,66.57,44.84,416,2,18.5,6.49
1090,24,7.66,89.45,6.94,56,3,16.59,6.78
1090,69,9.17,24.54,40.41,332,2,3.56,7.47
1090,49,76.51,50.43,26.4,493,4,17.23,2.07
1091,45,10.81,77.38,39.73,215,1,13.32,5.85
1092,29,41.86,26.84,35,73,2,16.92,4.89
1092,62,23.04,69.61,32.87,272,4,3.92,7.55
1092,87,68.78,79.18,28.98,439,2,14.18,6.61
1095,29,17.01,68.19,21.36,360,4,3.27,3.71
1095,63,15.25,69.87,15.89,132,3,4.45,6.1
1096,93,61.19,28.99,21.03,7,1,0.64,6.91
1096,26,89.01,98.97,44.05,195,4,3.07,8.87
1096,90,89.7,19.36,36.66,347,3,18.58,8.57
1096,51,68.49,96.99,40.13,203,3,3.18,4.79
1097,7,34.75,51.18,16.52,292,4,9.41,9.08
1098,31,84.27,39.32,0.06,124,1,4.61,8.58
1099,77,12.31,27.02,8.2,394,2,16.76,6.29
1099,20,41.41,56.26,26.4,427,4,1.92,4.78
1099,24,59.59,22.03,10.34,227,3,0.87,9.13
1099,98,29.5,16.48,18.77,457,3,8.24,1.16
1100,26,71.9,71.81,41.92,334,2,13.1,7.04
1100,53,70.7,98.65,14.76,395,4,3.78,4.46
1101,96,45.21,76.19,22.74,300,1,14.91,2.79
1101,49,40.55,68.82,6.18,221,4,0.69,6.81
1103,81,19.96,17.74,18.6,56,4,10.51,9.66
1105,71,97.96,44.54,8.23,133,3,10.32,9.71
1105,68,5.75,84.83,22.13,276,4,10.61,5.26
1107,98,35.71,46.43,1.53,184,2,6.39,6.87
1109,7,56.96,25.18,19.13,356,4,5.63,3.07
1112,70,7.15,96.55,20.74,301,1,7.29,1.62
1112,9,46.72,24.28,30.35,127,1,5.22,6.21
1112,16,80.2,16.88,13.78,68,2,15,5.51
1113,94,5.56,9.92,16.55,228,4,18.66,6.48
1116,14,73.76,78.51,31.97,411,1,17.55,8.54
1116,25,67.27,81.34,15.57,400,2,4.47,6.52
1116,52,83.2,99.39,41.04,237,4,10.29,2.86
1116,14,31.18,82.45,26.84,439,2,11.38,4.79
1117,65,14.75,94.72,1.7,386,1,17.73,9.58
1117,21,87.4,52.2,34.7,170,4,11.32,8.7
1122,54,59.81,16.88,8.39,391,4,15.28,6.35
1124,26,75.1,32.74,35.11,318,4,2.72,1.8
1125,45,64.11,16.96,32.36,343,4,16.23,7.29
1127,13,53.36,44.44,3.18,396,1,17.69,2.46
1129,86,45.99,64.62,34.24,146,4,6.25,4.7
1129,51,47.15,89.14,35.95,125,4,5.61,5.83
1131,23,39.55,76.6,1.95,452,4,5.91,7.69
1131,10,52.83,51.88,33.7,391,1,18.79,9.89
1131,84,30.5,6.52,0.77,398,2,5.78,1.32
